Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,success_level
Arctic Thunder,PS2,2001.0,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36,45.0,23.0,5.3,10.0,Inland Productions,T,1
NHL 2K10,PS2,2009.0,Sports,Take-Two Interactive,0.17,0.14,0.0,0.05,0.36,75.0,,8.5,4.0,Take-Two Interactive,E10+,1
J-League Pro Soccer Club o Tsukurou!,DC,1999.0,Sports,Sega,0.0,0.0,0.36,0.0,0.36,75.0,,7.4,,Unknown,Unknown,1
ESPN: Sports Connection,WiiU,2012.0,Sports,Ubisoft,0.2,0.12,0.0,0.03,0.36,31.0,13.0,2.7,18.0,Ubisoft,E,1
Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,0.33,0.0,0.0,0.02,0.36,68.0,,7.4,,CokeM Interactive,E,1
Formula 1 Championship Edition,PS,1997.0,Racing,Psygnosis,0.06,0.04,0.23,0.02,0.36,69.0,,7.4,,Unknown,Unknown,1
Shrek,XB,2001.0,Platform,TDK Mediactive,0.25,0.1,0.0,0.01,0.36,49.0,19.0,5.4,9.0,Digital Illusions,T,1
Dragon's Crown,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,15.0,8.4,198.0,Vanillaware,T,1
Thief (2014),PS3,2014.0,Action,Square Enix,0.1,0.17,0.02,0.05,0.35,68.0,,7.4,,Unknown,Unknown,1
Blasto,PS,1998.0,Action,Sony Computer Entertainment,0.2,0.13,0.0,0.02,0.35,68.0,,7.4,,Unknown,Unknown,1
Wipeout 2048,PSV,2012.0,Racing,Sony Computer Entertainment,0.13,0.17,0.0,0.05,0.35,79.0,63.0,8.2,191.0,Studio Liverpool,E10+,1
Wonder Pets! Save the Animals!,DS,2008.0,Adventure,Take-Two Interactive,0.33,0.0,0.0,0.02,0.35,66.0,,7.6,,Unknown,Unknown,1
Backyard Baseball 2006,GBA,2005.0,Sports,Atari,0.25,0.09,0.0,0.01,0.35,75.0,,7.4,,Unknown,Unknown,1
Cabela's Outdoor Adventures (2006),PS2,2005.0,Sports,Zoo Digital Publishing,0.17,0.14,0.0,0.05,0.35,75.0,,8.9,17.0,Sand Grain Studios,T,1
Trauma Center: Under the Knife,DS,2005.0,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.35,81.0,45.0,8.7,45.0,ITL,T,1
Press Your Luck 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.33,0.0,0.0,0.03,0.35,69.0,,7.1,,Ludia Inc.,E,1
Nicktoons: Unite!,GC,2005.0,Adventure,THQ,0.27,0.07,0.0,0.01,0.35,66.0,,7.6,,Unknown,Unknown,1
Farming Simulator 2015,PS4,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.06,0.35,70.0,,7.5,,Unknown,Unknown,1
Earth Defense Force 2025,PS3,2013.0,Shooter,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,28.0,7.5,52.0,Sandlot,M,1
Middle-Earth: Shadow of Mordor,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8.0,1671.0,Monolith Productions,M,1
Suikoden V,PS2,2006.0,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,76.0,43.0,7.6,109.0,Konami,T,1
Picross 2,GB,1996.0,Puzzle,Nintendo,0.0,0.0,0.35,0.0,0.35,70.0,,7.5,,Unknown,Unknown,1
SOCOM: Tactical Strike,PSP,2007.0,Shooter,Sony Computer Entertainment,0.32,0.01,0.0,0.03,0.35,73.0,,7.4,,Unknown,Unknown,1
Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.22,0.11,0.0,0.03,0.35,70.0,,7.5,,Unknown,Unknown,1
Tiger Woods PGA Tour 14,X360,2013.0,Sports,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,28.0,6.2,26.0,EA Tiburon,E,1
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35,68.0,,7.4,,Unknown,Unknown,1
U-Sing,Wii,2009.0,Misc,Mindscape,0.0,0.32,0.0,0.03,0.35,69.0,,7.1,,Unknown,Unknown,1
Outlaw Golf 2,PS2,2004.0,Sports,Global Star,0.17,0.14,0.0,0.05,0.35,63.0,20.0,7.4,,Hypnotix,M,1
Momotarou Dentetsu 12,PS2,2003.0,Misc,Hudson Soft,0.0,0.0,0.35,0.0,0.35,69.0,,7.1,,Unknown,Unknown,1
LocoRoco 2,PSP,2008.0,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.04,0.35,85.0,55.0,8.4,44.0,SCE Japan Studio,E,1
Football Manager Handheld 2010,PSP,2009.0,Sports,Sega,0.0,0.26,0.0,0.09,0.35,69.0,10.0,6.9,7.0,Sports Interactive,E,1
Disney's Tarzan: Return to the Jungle,GBA,2002.0,Action,Activision,0.25,0.09,0.0,0.01,0.35,68.0,8.0,7.4,,Digital Eclipse,E,1
Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,Ubisoft Montreal,T,1
Cabela's Dangerous Hunts,XB,2003.0,Sports,Zoo Digital Publishing,0.26,0.08,0.0,0.01,0.35,75.0,,9.1,22.0,FUN Labs,T,1
AMF Bowling World Lanes,Wii,2008.0,Sports,Bethesda Softworks,0.33,0.0,0.0,0.03,0.35,75.0,,1.1,10.0,Vir2L Studios,E,1
Kinectimals: Now with Bears!,X360,2011.0,Misc,Microsoft Game Studios,0.27,0.06,0.0,0.03,0.35,69.0,,7.1,,Unknown,Unknown,1
G-Force,PSP,2009.0,Action,Electronic Arts,0.24,0.06,0.0,0.05,0.35,68.0,,8.8,4.0,Keen Games,E10+,1
Worms: Open Warfare 2,DS,2007.0,Strategy,THQ,0.07,0.24,0.0,0.04,0.35,81.0,25.0,9.1,22.0,"Team 17, Two Tribes",E10+,1
Jikkyou Powerful Pro Yakyuu 13,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0,0.35,75.0,,7.4,,Unknown,Unknown,1
Dark Void,PS3,2010.0,Action,Capcom,0.18,0.12,0.0,0.05,0.35,59.0,50.0,6.0,36.0,Airtight Games,T,1
Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,0.35,73.0,34.0,7.2,9.0,Beenox,T,1
Mega Man X3,SNES,1995.0,Action,Laguna,0.04,0.01,0.3,0.0,0.35,68.0,,7.4,,Unknown,Unknown,1
Stunt Race FX,SNES,1993.0,Racing,Nintendo,0.0,0.0,0.35,0.0,0.35,69.0,,7.4,,Unknown,Unknown,1
NHL 2K10,Wii,2009.0,Sports,Take-Two Interactive,0.32,0.01,0.0,0.03,0.35,79.0,8.0,6.8,16.0,Take-Two Interactive,E10+,1
Bloody Roar 3,PS2,2001.0,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,71.0,20.0,8.6,34.0,Eighting/Raizing,T,1
WWE Crush Hour,PS2,2003.0,Racing,THQ,0.17,0.13,0.0,0.04,0.35,56.0,13.0,5.3,8.0,Pacific Coast Power & Light,T,1
Persona 2: Eternal Punishment,PS,2000.0,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,83.0,11.0,8.4,25.0,Atlus Co.,T,1
Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,43.0,3.8,212.0,Deep Silver Dambuster Studios,M,1
Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Ubisoft Quebec,M,1
One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0,Spike Chunsoft,T,1
Star Wars: Flight of the Falcon,GBA,2003.0,Action,THQ,0.25,0.09,0.0,0.01,0.35,39.0,13.0,5.8,11.0,Pocket Studios,E,1
One Piece: Gigant Battle 2 Shin Sekai,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35,72.0,,7.6,,Unknown,Unknown,1
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009.0,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,Game Arts,E10+,1
Toukiden: The Age of Demons,PSV,2013.0,Action,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,44.0,8.0,136.0,Omega Force,T,1
Metro: Last Light,X360,2013.0,Action,Deep Silver,0.17,0.15,0.0,0.03,0.35,80.0,20.0,8.4,440.0,4A Games,Unknown,1
Jikkyou Powerful Pro Yakyuu 2000,N64,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.06,0.35,75.0,,7.4,,Unknown,Unknown,1
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2008.0,Action,Unknown,0.15,0.05,0.14,0.01,0.35,68.0,,7.4,,Unknown,Unknown,1
Football Manager 2016,PC,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,E,1
Resident Evil: Dead Aim,PS2,2003.0,Action,Capcom,0.17,0.13,0.0,0.04,0.35,65.0,28.0,6.6,48.0,Cavia Inc.,M,1
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009.0,Strategy,Electronic Arts,0.14,0.15,0.0,0.06,0.35,73.0,,7.8,,Unknown,Unknown,1
Need for Speed Carbon,GC,2006.0,Racing,Electronic Arts,0.27,0.07,0.0,0.01,0.35,75.0,12.0,7.8,14.0,EA Canada,E10+,1
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003.0,Action,THQ,0.25,0.09,0.0,0.01,0.35,68.0,,7.4,,Helixe,E,1
FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,68.0,,3.2,19.0,Electronic Arts,E,1
The Fairly Odd Parents: Shadow Showdown,PS2,2004.0,Platform,THQ,0.17,0.13,0.0,0.04,0.35,69.0,,7.7,,Unknown,Unknown,1
EA Sports MMA,X360,2010.0,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7.0,55.0,EA Tiburon,T,1
Saban's Power Rangers: Lightspeed Rescue,PS,2000.0,Action,THQ,0.19,0.13,0.0,0.02,0.35,68.0,,7.4,,Unknown,Unknown,1
Xbox Music Mixer,XB,2003.0,Misc,Microsoft Game Studios,0.26,0.08,0.0,0.01,0.35,49.0,12.0,7.1,,WildTangent,E,1
Defiance,PS3,2013.0,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,21.0,6.9,145.0,Trion Worlds,M,1
Terminator Salvation,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04,0.35,48.0,50.0,5.0,53.0,GRIN,T,1
CSI: Deadly Intent - The Hidden Cases,DS,2009.0,Adventure,Ubisoft,0.16,0.15,0.0,0.04,0.35,66.0,,7.6,,Unknown,Unknown,1
College Hoops 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.17,0.13,0.0,0.04,0.35,66.0,4.0,7.4,,Visual Concepts,E,1
Destiny: The Taken King,X360,2015.0,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,73.0,,4.4,59.0,"Bungie Software, Bungie",T,1
Pac-Man All-Stars,PS3,2011.0,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04,0.35,72.0,,7.6,,Unknown,Unknown,1
Guitar Hero: Metallica,PS2,2009.0,Misc,Activision,0.17,0.13,0.0,0.04,0.35,69.0,,7.6,9.0,Neversoft Entertainment,T,1
Guilty Gear X2,PS2,2002.0,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,87.0,31.0,8.7,34.0,Arc System Works,T,1
Chicken Shoot,Wii,2007.0,Action,Zoo Digital Publishing,0.32,0.0,0.0,0.02,0.35,27.0,9.0,4.8,26.0,Destination Software,E10+,1
Tom Clancy's Rainbow Six: Lockdown,PS2,2005.0,Shooter,Ubisoft,0.17,0.13,0.0,0.04,0.35,70.0,15.0,6.9,9.0,"Red Storm Entertainment, Ubisoft Montreal",M,1
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02,0.35,74.0,,7.8,,Unknown,Unknown,1
MotoGP 08,X360,2008.0,Racing,Capcom,0.11,0.2,0.0,0.04,0.35,68.0,20.0,5.6,12.0,Milestone S.r.l,E,1
LEGO Marvel's Avengers,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,18.0,5.1,15.0,TT Games,E10+,1
The Tale of Despereaux,PS2,2008.0,Platform,Brash Entertainment,0.17,0.13,0.0,0.04,0.35,69.0,,7.7,,Brash Entertainment,E10+,1
Aggressive Inline,PS2,2002.0,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,"Z-Axis, Ltd.",T,1
Mirror's Edge Catalyst,PS4,2016.0,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,50.0,4.7,578.0,EA DICE,T,1
Sniper Elite 3,XOne,2014.0,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,Rebellion,M,1
Hello Kitty Daily,DS,2008.0,Misc,Nobilis,0.32,0.0,0.0,0.03,0.35,69.0,,7.1,,Unknown,Unknown,1
NFL Street,GC,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8.0,4.0,EA Tiburon,E,1
Karaoke Revolution,PS2,2003.0,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,83.0,29.0,9.1,17.0,Harmonix Music Systems,E,1
Metal Arms: Glitch in the System,PS2,2003.0,Shooter,Vivendi Games,0.17,0.13,0.0,0.04,0.35,81.0,28.0,8.9,17.0,Mass Media,T,1
Tropico 4,X360,2008.0,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Haemimont,T,1
Jikkyou Powerful Pro Yakyuu 7,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0,0.35,75.0,,7.4,,Unknown,Unknown,1
Rally Cross 2,PS,1998.0,Racing,989 Studios,0.19,0.13,0.0,0.02,0.35,69.0,,7.4,,Unknown,Unknown,1
EverGrace,PS2,2000.0,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59.0,12.0,7.8,4.0,From Software,T,1
Enemy Territory: Quake Wars,PS3,2008.0,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,"Z-Axis, Ltd.",T,1
Lunar 2: Eternal Blue Complete,PS,1999.0,Role-Playing,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,86.0,12.0,8.9,37.0,Game Arts,T,1
Street Fighter Alpha: Warriors' Dreams,SAT,1996.0,Fighting,Capcom,0.0,0.0,0.35,0.0,0.35,72.0,,7.6,,Unknown,Unknown,1
Rugrats: Royal Ransom,PS2,2002.0,Platform,THQ,0.17,0.13,0.0,0.04,0.35,69.0,,7.7,,Avalanche Software,E,1
MLB 06: The Show,PSP,2006.0,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.5,32.0,SCEA San Diego Studios,E,1
Over the Hedge,GC,2006.0,Platform,Activision,0.27,0.07,0.0,0.01,0.35,61.0,21.0,9.3,6.0,Edge of Reality,E10+,1
Tomb Raider (2013),PC,2008.0,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M,1
Charlie and the Chocolate Factory,PS2,2005.0,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,"High Voltage Software, Backbone Entertainment",E,1
TrackMania Turbo,PS4,2016.0,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,Nadeo,E,1
Kurushi Final: Mental Blocks,PS,1998.0,Puzzle,Sony Computer Entertainment,0.0,0.0,0.32,0.02,0.34,70.0,,7.5,,Unknown,Unknown,1
Risk / Battleship / Clue,GBA,2005.0,Misc,Zoo Digital Publishing,0.25,0.09,0.0,0.01,0.34,69.0,,7.1,,Unknown,Unknown,1
Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,E,1
Def Jam Icon,X360,2007.0,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,48.0,6.3,108.0,EA Chicago,M,1
SD Gundam G Generation World,PSP,2011.0,Strategy,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,73.0,,7.8,,Unknown,Unknown,1
The Wild Thornberrys Movie,GBA,2002.0,Platform,THQ,0.25,0.09,0.0,0.01,0.34,69.0,,7.7,,Human Soft,E,1
High School Musical 3: Senior Year DANCE!,PS2,2008.0,Misc,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,69.0,,7.1,,Unknown,Unknown,1
Hannah Montana: The Movie,Wii,2009.0,Adventure,Disney Interactive Studios,0.13,0.18,0.0,0.04,0.34,66.0,,7.6,,n-Space,E,1
Dynasty Warriors 5 Empires,PS2,2006.0,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62.0,23.0,9.1,24.0,Omega Force,T,1
Call of Duty: Ghosts,WiiU,2013.0,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Treyarch,M,1
Transformers: Dark of the Moon,PS3,2011.0,Action,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,High Moon Studios,T,1
SoulCalibur,DC,1999.0,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,98.0,24.0,8.8,200.0,Namco,T,1
WipEout 3,PS,1999.0,Racing,Psygnosis,0.19,0.13,0.0,0.02,0.34,89.0,14.0,8.5,15.0,Psygnosis,E,1
UEFA Euro 2008 Austria-Switzerland,X360,2008.0,Sports,Electronic Arts,0.08,0.23,0.0,0.03,0.34,75.0,,7.4,,Unknown,Unknown,1
SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,0.24,0.07,0.0,0.03,0.34,69.0,,7.6,5.0,Impulse Games,E,1
Classic NES Series: Ice Climber,GBA,2004.0,Platform,Nintendo,0.1,0.04,0.2,0.01,0.34,66.0,12.0,7.7,,Nintendo,E,1
Pirates of the Caribbean: At World's End,DS,2007.0,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.34,66.0,14.0,7.4,,Amaze Entertainment,E10+,1
WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,T,1
WWE All Stars,X360,2011.0,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,THQ,T,1
Mini Ninjas,PS3,2009.0,Action,Eidos Interactive,0.14,0.15,0.0,0.06,0.34,73.0,37.0,8.7,62.0,Io Interactive,E10+,1
Tekken Tag Tournament 2,X360,2012.0,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,Namco Bandai Games,T,1
Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34,68.0,,7.4,,Unknown,Unknown,1
Driver 2 Advance,GBA,2002.0,Action,Atari,0.25,0.09,0.0,0.01,0.34,73.0,9.0,6.6,14.0,Sennari Interactive,T,1
Monster Rancher 4,PS2,2003.0,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,77.0,21.0,9.1,18.0,Tecmo,E,1
Mini Ninjas,DS,2009.0,Action,Eidos Interactive,0.16,0.15,0.0,0.04,0.34,61.0,10.0,5.8,4.0,Magic Pockets,E10+,1
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004.0,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,65.0,34.0,8.6,20.0,Capcom,E10+,1
Iron Storm,SAT,1995.0,Shooter,Sega,0.0,0.0,0.34,0.0,0.34,73.0,,7.4,,Unknown,Unknown,1
Battalion Wars 2,Wii,2007.0,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,75.0,38.0,7.6,45.0,Kuju Entertainment,T,1
MotorStorm: Arctic Edge,PS2,2009.0,Racing,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34,72.0,10.0,8.3,6.0,Virtuos,T,1
The Fairly Odd Parents: Shadow Showdown,GBA,2004.0,Platform,THQ,0.25,0.09,0.0,0.01,0.34,69.0,,7.7,,Unknown,Unknown,1
Marvel Super Heroes,PS,1997.0,Fighting,Virgin Interactive,0.19,0.13,0.0,0.02,0.34,72.0,,7.6,,Unknown,Unknown,1
Super Bust-A-Move,PS2,2000.0,Puzzle,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.34,75.0,11.0,7.5,,Taito Corporation,E,1
Hitman: Contracts,XB,2004.0,Shooter,Eidos Interactive,0.26,0.07,0.0,0.01,0.34,78.0,44.0,8.8,15.0,Io Interactive,M,1
Supreme Commander 2,X360,2010.0,Strategy,Square Enix,0.23,0.09,0.0,0.03,0.34,75.0,28.0,7.1,23.0,Gas Powered Games,E10+,1
Thunderstrike: Operation Phoenix,PS2,2001.0,Simulation,Eidos Interactive,0.17,0.13,0.0,0.04,0.34,65.0,15.0,8.1,7.0,Core Design Ltd.,T,1
Frostbite,2600,1983.0,Action,Activision,0.32,0.02,0.0,0.0,0.34,68.0,,7.4,,Unknown,Unknown,1
Alien's Return,2600,1982.0,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34,68.0,,7.4,,Unknown,Unknown,1
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,68.0,,7.4,,Unknown,Unknown,1
Avatar: The Last Airbender - The Burning Earth,DS,2007.0,Action,THQ,0.31,0.0,0.0,0.03,0.34,68.0,,7.4,,Unknown,Unknown,1
Racquet Sports,PS3,2010.0,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,Asobo Studio,E,1
Company of Heroes 2,PC,2013.0,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,Relic,M,1
Trauma Center: Second Opinion,Wii,2006.0,Simulation,Nintendo,0.28,0.01,0.03,0.03,0.34,80.0,49.0,8.0,47.0,Atlus,T,1
DanceDanceRevolution,Wii,2010.0,Simulation,Konami Digital Entertainment,0.28,0.04,0.0,0.02,0.34,70.0,,7.5,,Konami,E,1
WWE Day of Reckoning 2,GC,2005.0,Fighting,THQ,0.26,0.07,0.0,0.01,0.34,76.0,36.0,6.0,263.0,Yuke's,T,1
NBA 2K12,Wii,2011.0,Sports,Take-Two Interactive,0.29,0.03,0.0,0.02,0.34,75.0,,6.8,6.0,Visual Concepts,E,1
The Urbz: Sims in the City,XB,2004.0,Simulation,Electronic Arts,0.22,0.11,0.0,0.01,0.34,70.0,28.0,6.5,10.0,Maxis,T,1
Fantastic Voyage,2600,1981.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,68.0,,7.4,,Unknown,Unknown,1
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010.0,Sports,Sega,0.09,0.19,0.0,0.07,0.34,75.0,,7.4,,Unknown,Unknown,1
Night Warriors: Darkstalkers' Revenge,SAT,1995.0,Fighting,Virgin Interactive,0.0,0.0,0.34,0.0,0.34,72.0,,7.6,,Unknown,Unknown,1
Rayman Legends,XOne,2014.0,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,6.0,7.9,218.0,Ubisoft Montpellier,E10+,1
SpongeBob SquarePants: The Yellow Avenger,DS,2005.0,Action,THQ,0.31,0.0,0.0,0.02,0.34,67.0,5.0,7.6,10.0,Tantatus,E,1
Monopoly,PS3,2008.0,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,4.0,6.7,13.0,Electronic Arts,E,1
SimCity Creator,DS,2008.0,Simulation,Electronic Arts,0.29,0.02,0.0,0.03,0.34,69.0,16.0,7.3,8.0,Electronic Arts,E,1
Off Road Challenge,N64,1998.0,Racing,GT Interactive,0.27,0.06,0.0,0.0,0.34,69.0,,7.4,,Unknown,Unknown,1
Tenchu Z,X360,2006.0,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,56.0,51.0,7.3,58.0,K2 LLC,M,1
Bank Heist,2600,1982.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,68.0,,7.4,,Unknown,Unknown,1
Conan,PS3,2007.0,Action,THQ,0.13,0.15,0.0,0.05,0.34,69.0,35.0,7.2,40.0,Nihilistic,M,1
Backstreet Billiards,PS,1998.0,Misc,ASCII Entertainment,0.19,0.13,0.0,0.02,0.34,69.0,,7.1,,Unknown,Unknown,1
Carnival,2600,1981.0,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34,73.0,,7.4,,Unknown,Unknown,1
Leisure Suit Larry: Magna Cum Laude,PS2,2004.0,Adventure,Vivendi Games,0.17,0.13,0.0,0.04,0.34,60.0,44.0,6.3,18.0,High Voltage Software,M,1
MVP 06 NCAA Baseball,XB,2006.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,29.0,8.6,17.0,EA Canada,E,1
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011.0,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,59.0,16.0,7.2,26.0,Racjin,T,1
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007.0,Misc,Hudson Soft,0.0,0.0,0.34,0.0,0.34,69.0,,7.1,,Unknown,Unknown,1
Point Blank,PS,1997.0,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.34,73.0,,7.4,,Unknown,Unknown,1
Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34,68.0,,7.4,,Unknown,Unknown,1
Speed Racer: The Videogame,DS,2008.0,Racing,Warner Bros. Interactive Entertainment,0.28,0.04,0.0,0.03,0.34,69.0,,7.4,,Unknown,Unknown,1
F.E.A.R.,X360,2006.0,Shooter,Vivendi Games,0.28,0.03,0.0,0.03,0.34,85.0,44.0,7.3,131.0,Day 1 Studios,M,1
Tiny Tank,PS,1998.0,Action,Sony Computer Entertainment,0.19,0.13,0.0,0.02,0.34,68.0,,7.4,,Unknown,Unknown,1
Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010.0,Strategy,Konami Digital Entertainment,0.13,0.04,0.14,0.03,0.34,73.0,,7.8,,Unknown,Unknown,1
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011.0,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,77.0,49.0,7.9,78.0,Ubisoft,T,1
Smart Girl's Party Game,DS,2008.0,Misc,505 Games,0.31,0.0,0.0,0.02,0.34,69.0,,7.1,,Starfish,E,1
Spy Hunter,XB,2002.0,Racing,Midway Games,0.25,0.07,0.0,0.01,0.34,71.0,19.0,7.4,,Point of View,T,1
James Bond 007: Legends,PS3,2012.0,Shooter,Activision,0.11,0.16,0.0,0.07,0.34,73.0,,7.4,,Unknown,Unknown,1
The Sims 3: Town Life Stuff,PC,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34,70.0,,6.3,14.0,The Sims Studio,T,1
